report_id,date,site,report_type,activity,description,sif_potential,sif_predicted,sif_probability,life_saving_rule,lsr_all_matches,activity_category,barrier_failure
RPT-00017,2025-05-15,Kumchai Compressor Station,UC,hot work / welding near flammable storage,"Observation (UC) at Kumchai Compressor Station - hot work / welding near flammable storage in progress, however barricade/warning signage missing at work area, increasing risk of fire or explosion in presence of flammable atmosphere.",1,0,0.358,Hot Work,['Hot Work'],Hot Work,Barricade/Signage Missing
RPT-00018,2025-09-17,Numaligarh Terminal,Incident,excavation near buried pipeline,"While conducting excavation near buried pipeline, a incident occurred at Numaligarh Terminal because PPE (harness/gloves/goggles) not worn correctly.",0,0,0.433,Working at Height,['Working at Height'],Excavation,PPE Non-Compliance
RPT-00019,2025-09-29,Moran GGS,Near-Miss,confined space entry into storage tank,Field audit at Moran GGS identified confined space entry into storage tank where supervision inadequate for high-risk task. No injury occurred but potential for asphyxiation or toxic gas exposure was high.,0,1,0.544,Confined Space,['Confined Space'],Confined Space Entry,Inadequate Supervision
RPT-00020,2025-06-07,Lakwa Gas Plant,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Lakwa Gas Plant because toolbox talk / risk assessment not conducted.",0,1,0.515,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Risk Assessment Skipped
RPT-00021,2025-02-05,Duliajan Field,Incident,manual lifting with mobile crane,"During manual lifting with mobile crane at Duliajan Field, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to dropped load / crane failure.",1,1,0.812,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,Permit Not Issued
RPT-00022,2025-11-07,Numaligarh Terminal,Incident,confined space entry into storage tank,Incident raised at Numaligarh Terminal: worker engaged in confined space entry into storage tank without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.353,Confined Space,['Confined Space'],Confined Space Entry,Risk Assessment Skipped
RPT-00023,2025-11-29,Moran GGS,Near-Miss,excavation near buried pipeline,"Observation (Near-Miss) at Moran GGS - excavation near buried pipeline in progress, however isolation point not verified with lock and tag, increasing risk of being struck by moving/falling/suspended object.",0,0,0.366,Energy Isolation,"['Energy Isolation', 'Line of Fire']",Excavation,Isolation Not Verified
RPT-00024,2025-01-11,Jorajan Pipeline ROW,UA,excavation near buried pipeline,UA raised at Jorajan Pipeline ROW: worker engaged in excavation near buried pipeline without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.158,Unclassified,[],Excavation,Risk Assessment Skipped
RPT-00025,2025-01-31,Duliajan Workshop,UA,manual lifting with mobile crane,"During manual lifting with mobile crane at Duliajan Workshop, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to dropped load / crane failure.",1,1,0.784,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,Permit Not Issued
RPT-00026,2025-09-06,Digboi Refinery,UA,working at height on scaffolding,UA raised at Digboi Refinery: worker engaged in working at height on scaffolding without following procedure - supervision inadequate for high-risk task.,0,0,0.43,Working at Height,['Working at Height'],Working at Height,Inadequate Supervision
RPT-00027,2025-07-28,Duliajan Workshop,UC,confined space entry into storage tank,UC raised at Duliajan Workshop: worker engaged in confined space entry into storage tank without following procedure - no lifting plan / unqualified rigger used.,0,1,0.688,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Confined Space Entry,Permit Not Issued
RPT-00028,2025-01-28,Digboi Refinery,UC,hot work / welding near flammable storage,"Observation (UC) at Digboi Refinery - hot work / welding near flammable storage in progress, however communication breakdown between crew and control room, increasing risk of fire or explosion in presence of flammable atmosphere.",0,0,0.35,Hot Work,['Hot Work'],Hot Work,Communication Failure
RPT-00029,2025-04-08,Digboi Refinery,Near-Miss,working at height on scaffolding,"During working at height on scaffolding at Digboi Refinery, it was observed that communication breakdown between crew and control room. This created a direct exposure to fall from height.",1,1,0.545,Working at Height,['Working at Height'],Working at Height,Communication Failure
RPT-00030,2025-02-08,Jorajan Pipeline ROW,UA,confined space entry into storage tank,"Observation (UA) at Jorajan Pipeline ROW - confined space entry into storage tank in progress, however communication breakdown between crew and control room, increasing risk of asphyxiation or toxic gas exposure.",1,0,0.326,Confined Space,['Confined Space'],Confined Space Entry,Communication Failure
RPT-00031,2025-02-17,Duliajan Workshop,Near-Miss,hot work / welding near flammable storage,Field audit at Duliajan Workshop identified hot work / welding near flammable storage where permit to work not issued before starting job. No injury occurred but potential for fire or explosion in presence of flammable atmosphere was high.,0,1,0.562,Hot Work,"['Hot Work', 'Work Authorization']",Hot Work,Permit Not Issued
RPT-00032,2025-03-26,Numaligarh Terminal,UC,line of fire during pipe fitting removal,"Observation (UC) at Numaligarh Terminal - line of fire during pipe fitting removal in progress, however toolbox talk / risk assessment not conducted, increasing risk of being struck by moving/falling/suspended object.",0,0,0.356,Line of Fire,['Line of Fire'],Line of Fire Exposure,Risk Assessment Skipped
RPT-00033,2025-12-23,Duliajan Field,Incident,line of fire during pipe fitting removal,"Observation (Incident) at Duliajan Field - line of fire during pipe fitting removal in progress, however barricade/warning signage missing at work area, increasing risk of being struck by moving/falling/suspended object.",0,0,0.215,Line of Fire,['Line of Fire'],Line of Fire Exposure,Barricade/Signage Missing
RPT-00034,2025-01-30,Duliajan Workshop,UA,routine equipment inspection round,"While conducting routine equipment inspection round, a ua occurred at Duliajan Workshop because toolbox talk / risk assessment not conducted.",0,0,0.058,Unclassified,[],Inspection / Housekeeping,Risk Assessment Skipped
RPT-00035,2025-09-29,Duliajan Workshop,UA,working at height on scaffolding,Field audit at Duliajan Workshop identified working at height on scaffolding where supervision inadequate for high-risk task. No injury occurred but potential for fall from height was high.,0,0,0.459,Working at Height,['Working at Height'],Working at Height,Inadequate Supervision
RPT-00036,2025-12-12,Duliajan Field,Incident,excavation near buried pipeline,"During excavation near buried pipeline at Duliajan Field, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to being struck by moving/falling/suspended object.",0,0,0.419,Line of Fire,"['Line of Fire', 'Working at Height']",Excavation,PPE Non-Compliance
RPT-00037,2025-02-11,Naharkatiya Tank Farm,UA,hot work / welding near flammable storage,Field audit at Naharkatiya Tank Farm identified hot work / welding near flammable storage where no lifting plan / unqualified rigger used. No injury occurred but potential for fire or explosion in presence of flammable atmosphere was high.,1,1,0.714,Hot Work,"['Hot Work', 'Safe Mechanical Lifting']",Hot Work,Permit Not Issued
RPT-00038,2025-06-10,Lakwa Gas Plant,UA,vehicle movement in loading bay,"While conducting vehicle movement in loading bay, a ua occurred at Lakwa Gas Plant because equipment inspection overdue / defective tool used.",0,0,0.34,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00039,2025-02-07,Barekuri Well Pad,Near-Miss,line of fire during pipe fitting removal,"While conducting line of fire during pipe fitting removal, a near-miss occurred at Barekuri Well Pad because gas test not performed before entry.",1,1,0.713,Confined Space,"['Confined Space', 'Line of Fire']",Line of Fire Exposure,Gas Test Skipped
RPT-00040,2025-09-17,Jorajan Pipeline ROW,Incident,vehicle movement in loading bay,"During vehicle movement in loading bay at Jorajan Pipeline ROW, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to vehicle collision.",0,0,0.473,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Driving Safety']",Driving / Vehicle Movement,Permit Not Issued
RPT-00041,2025-08-13,Numaligarh Terminal,Incident,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a incident occurred at Numaligarh Terminal because PPE (harness/gloves/goggles) not worn correctly.",1,1,0.761,Energy Isolation,"['Energy Isolation', 'Working at Height']",Energy Isolation / LOTO,PPE Non-Compliance
RPT-00042,2025-12-06,Barekuri Well Pad,UA,vehicle movement in loading bay,Field audit at Barekuri Well Pad identified vehicle movement in loading bay where equipment inspection overdue / defective tool used. No injury occurred but potential for vehicle collision was high.,0,0,0.141,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00043,2025-05-25,Numaligarh Terminal,Incident,driving light vehicle on site road,Field audit at Numaligarh Terminal identified driving light vehicle on site road where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for vehicle collision was high.,0,0,0.23,Driving Safety,"['Driving Safety', 'Working at Height']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00044,2025-05-09,Moran GGS,UA,housekeeping / material storage,"While conducting housekeeping / material storage, a ua occurred at Moran GGS because supervision inadequate for high-risk task.",0,0,0.089,Unclassified,[],Inspection / Housekeeping,Inadequate Supervision
RPT-00045,2025-03-08,Digboi Refinery,Near-Miss,routine equipment inspection round,"During routine equipment inspection round at Digboi Refinery, it was observed that communication breakdown between crew and control room. This created a direct exposure to uncontrolled/unauthorized simultaneous operations.",1,0,0.092,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Communication Failure
RPT-00046,2025-02-27,Barekuri Well Pad,UC,confined space entry into storage tank,"Observation (UC) at Barekuri Well Pad - confined space entry into storage tank in progress, however toolbox talk / risk assessment not conducted, increasing risk of asphyxiation or toxic gas exposure.",0,0,0.396,Confined Space,['Confined Space'],Confined Space Entry,Risk Assessment Skipped
RPT-00047,2025-08-09,Numaligarh Terminal,Near-Miss,excavation near buried pipeline,Field audit at Numaligarh Terminal identified excavation near buried pipeline where permit to work not issued before starting job. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.325,Line of Fire,"['Line of Fire', 'Work Authorization']",Excavation,Permit Not Issued
RPT-00048,2025-04-18,Duliajan Field,Incident,driving light vehicle on site road,"During driving light vehicle on site road at Duliajan Field, it was observed that supervision inadequate for high-risk task. This created a direct exposure to vehicle collision.",0,0,0.081,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Inadequate Supervision
RPT-00049,2025-07-28,Moran GGS,UC,routine equipment inspection round,Field audit at Moran GGS identified routine equipment inspection round where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.324,Working at Height,"['Working at Height', 'Work Authorization']",Inspection / Housekeeping,PPE Non-Compliance
RPT-00050,2025-01-13,Numaligarh Terminal,Incident,manual lifting with mobile crane,Incident raised at Numaligarh Terminal: worker engaged in manual lifting with mobile crane without following procedure - gas test not performed before entry.,0,1,0.627,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Mechanical Lifting,Gas Test Skipped
RPT-00051,2025-01-20,Kumchai Compressor Station,UA,line of fire during pipe fitting removal,"During line of fire during pipe fitting removal at Kumchai Compressor Station, it was observed that isolation point not verified with lock and tag. This created a direct exposure to being struck by moving/falling/suspended object.",1,1,0.763,Line of Fire,"['Line of Fire', 'Energy Isolation']",Line of Fire Exposure,Isolation Not Verified
RPT-00052,2025-12-04,Moran GGS,UA,manual lifting with mobile crane,UA raised at Moran GGS: worker engaged in manual lifting with mobile crane without following procedure - toolbox talk / risk assessment not conducted.,1,0,0.32,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,Risk Assessment Skipped
RPT-00053,2025-09-18,Naharkatiya Tank Farm,Incident,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a incident occurred at Naharkatiya Tank Farm because barricade/warning signage missing at work area.",0,0,0.343,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Barricade/Signage Missing
RPT-00054,2025-05-16,Duliajan Workshop,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Duliajan Workshop because permit to work not issued before starting job.",1,1,0.593,Energy Isolation,"['Energy Isolation', 'Work Authorization']",Energy Isolation / LOTO,Permit Not Issued
RPT-00055,2025-09-19,Digboi Refinery,UA,vehicle movement in loading bay,"While conducting vehicle movement in loading bay, a ua occurred at Digboi Refinery because communication breakdown between crew and control room.",0,0,0.119,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00056,2025-10-03,Naharkatiya Tank Farm,UA,vehicle movement in loading bay,"Observation (UA) at Naharkatiya Tank Farm - vehicle movement in loading bay in progress, however isolation point not verified with lock and tag, increasing risk of vehicle collision.",1,0,0.386,Energy Isolation,"['Energy Isolation', 'Driving Safety']",Driving / Vehicle Movement,Isolation Not Verified
RPT-00057,2025-12-06,Moran GGS,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Moran GGS because communication breakdown between crew and control room.",0,0,0.35,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Communication Failure
RPT-00058,2025-06-01,Barekuri Well Pad,Near-Miss,excavation near buried pipeline,"While conducting excavation near buried pipeline, a near-miss occurred at Barekuri Well Pad because barricade/warning signage missing at work area.",0,0,0.108,Unclassified,[],Excavation,Barricade/Signage Missing
RPT-00059,2025-03-31,Numaligarh Terminal,Near-Miss,manual lifting with mobile crane,"Observation (Near-Miss) at Numaligarh Terminal - manual lifting with mobile crane in progress, however communication breakdown between crew and control room, increasing risk of dropped load / crane failure.",0,0,0.404,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00060,2025-04-18,Lakwa Gas Plant,UC,driving light vehicle on site road,"During driving light vehicle on site road at Lakwa Gas Plant, it was observed that communication breakdown between crew and control room. This created a direct exposure to vehicle collision.",0,0,0.086,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00061,2025-09-19,Lakwa Gas Plant,UC,vehicle movement in loading bay,"Observation (UC) at Lakwa Gas Plant - vehicle movement in loading bay in progress, however supervision inadequate for high-risk task, increasing risk of vehicle collision.",0,0,0.13,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Inadequate Supervision
RPT-00062,2025-05-01,Numaligarh Terminal,UA,routine equipment inspection round,Field audit at Numaligarh Terminal identified routine equipment inspection round where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.3,Working at Height,"['Working at Height', 'Work Authorization']",Inspection / Housekeeping,PPE Non-Compliance
RPT-00063,2025-09-01,Barekuri Well Pad,UA,manual lifting with mobile crane,"During manual lifting with mobile crane at Barekuri Well Pad, it was observed that isolation point not verified with lock and tag. This created a direct exposure to dropped load / crane failure.",1,1,0.762,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Energy Isolation']",Mechanical Lifting,PPE Non-Compliance
RPT-00064,2025-12-23,Digboi Refinery,Incident,electrical panel maintenance,Field audit at Digboi Refinery identified electrical panel maintenance where communication breakdown between crew and control room. No injury occurred but potential for unexpected equipment start-up / stored energy release was high.,1,0,0.422,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Communication Failure
RPT-00065,2025-02-24,Jorajan Pipeline ROW,UA,line of fire during pipe fitting removal,"During line of fire during pipe fitting removal at Jorajan Pipeline ROW, it was observed that isolation point not verified with lock and tag. This created a direct exposure to being struck by moving/falling/suspended object.",0,1,0.755,Line of Fire,"['Line of Fire', 'Energy Isolation']",Line of Fire Exposure,Isolation Not Verified
RPT-00066,2025-03-04,Moran GGS,UC,confined space entry into storage tank,Field audit at Moran GGS identified confined space entry into storage tank where equipment inspection overdue / defective tool used. No injury occurred but potential for asphyxiation or toxic gas exposure was high.,1,1,0.66,Confined Space,['Confined Space'],Confined Space Entry,Defective Equipment
RPT-00067,2025-08-15,Numaligarh Terminal,Incident,electrical panel maintenance,Field audit at Numaligarh Terminal identified electrical panel maintenance where equipment inspection overdue / defective tool used. No injury occurred but potential for unexpected equipment start-up / stored energy release was high.,0,1,0.583,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Defective Equipment
RPT-00068,2025-09-01,Duliajan Workshop,UC,line of fire during pipe fitting removal,UC raised at Duliajan Workshop: worker engaged in line of fire during pipe fitting removal without following procedure - equipment inspection overdue / defective tool used.,0,1,0.548,Line of Fire,['Line of Fire'],Line of Fire Exposure,Defective Equipment
RPT-00069,2025-05-03,Barekuri Well Pad,Near-Miss,manual lifting with mobile crane,Field audit at Barekuri Well Pad identified manual lifting with mobile crane where barricade/warning signage missing at work area. No injury occurred but potential for dropped load / crane failure was high.,0,0,0.361,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00070,2025-10-04,Jorajan Pipeline ROW,UA,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a ua occurred at Jorajan Pipeline ROW because barricade/warning signage missing at work area.",0,0,0.375,Hot Work,['Hot Work'],Hot Work,Barricade/Signage Missing
RPT-00071,2025-02-02,Numaligarh Terminal,UC,confined space entry into storage tank,UC raised at Numaligarh Terminal: worker engaged in confined space entry into storage tank without following procedure - isolation point not verified with lock and tag.,1,1,0.705,Energy Isolation,"['Energy Isolation', 'Confined Space']",Confined Space Entry,Isolation Not Verified
RPT-00072,2025-08-04,Naharkatiya Tank Farm,UC,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Naharkatiya Tank Farm, it was observed that equipment inspection overdue / defective tool used. This created a direct exposure to unexpected equipment start-up / stored energy release.",1,1,0.715,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Defective Equipment
RPT-00073,2025-01-04,Lakwa Gas Plant,Incident,housekeeping / material storage,Field audit at Lakwa Gas Plant identified housekeeping / material storage where permit to work not issued before starting job. No injury occurred but potential for loss of critical safety function was high.,0,0,0.363,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Permit Not Issued
RPT-00074,2025-04-23,Barekuri Well Pad,UC,line of fire during pipe fitting removal,Field audit at Barekuri Well Pad identified line of fire during pipe fitting removal where communication breakdown between crew and control room. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.296,Line of Fire,['Line of Fire'],Line of Fire Exposure,Communication Failure
RPT-00075,2025-12-14,Moran GGS,UC,driving light vehicle on site road,"Observation (UC) at Moran GGS - driving light vehicle on site road in progress, however communication breakdown between crew and control room, increasing risk of vehicle collision.",0,0,0.06,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00076,2025-07-21,Numaligarh Terminal,Incident,electrical panel maintenance,Field audit at Numaligarh Terminal identified electrical panel maintenance where gas test not performed before entry. No injury occurred but potential for unexpected equipment start-up / stored energy release was high.,1,1,0.773,Energy Isolation,"['Energy Isolation', 'Confined Space']",Electrical Maintenance,Gas Test Skipped
RPT-00077,2025-08-25,Lakwa Gas Plant,UA,routine equipment inspection round,"Observation (UA) at Lakwa Gas Plant - routine equipment inspection round in progress, however permit to work not issued before starting job, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.256,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Permit Not Issued
RPT-00078,2025-07-14,Duliajan Field,UA,driving light vehicle on site road,"Observation (UA) at Duliajan Field - driving light vehicle on site road in progress, however communication breakdown between crew and control room, increasing risk of vehicle collision.",0,0,0.044,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00079,2025-06-29,Naharkatiya Tank Farm,UC,driving light vehicle on site road,Field audit at Naharkatiya Tank Farm identified driving light vehicle on site road where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for vehicle collision was high.,0,0,0.264,Driving Safety,"['Driving Safety', 'Working at Height']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00080,2025-01-11,Digboi Refinery,Near-Miss,routine equipment inspection round,Near-Miss raised at Digboi Refinery: worker engaged in routine equipment inspection round without following procedure - permit to work not issued before starting job.,0,0,0.403,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Permit Not Issued
RPT-00081,2025-04-22,Numaligarh Terminal,UC,manual lifting with mobile crane,"During manual lifting with mobile crane at Numaligarh Terminal, it was observed that gas test not performed before entry. This created a direct exposure to dropped load / crane failure.",1,1,0.798,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Mechanical Lifting,PPE Non-Compliance
RPT-00082,2025-03-25,Barekuri Well Pad,UC,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Barekuri Well Pad, it was observed that gas test not performed before entry. This created a direct exposure to unexpected equipment start-up / stored energy release.",0,1,0.793,Energy Isolation,"['Energy Isolation', 'Confined Space']",Energy Isolation / LOTO,Gas Test Skipped
RPT-00083,2025-07-12,Digboi Refinery,Incident,vehicle movement in loading bay,Field audit at Digboi Refinery identified vehicle movement in loading bay where permit to work not issued before starting job. No injury occurred but potential for vehicle collision was high.,0,0,0.273,Driving Safety,"['Driving Safety', 'Work Authorization']",Driving / Vehicle Movement,Permit Not Issued
RPT-00084,2025-06-04,Moran GGS,Near-Miss,hot work / welding near flammable storage,Near-Miss raised at Moran GGS: worker engaged in hot work / welding near flammable storage without following procedure - no lifting plan / unqualified rigger used.,1,1,0.81,Hot Work,"['Hot Work', 'Safe Mechanical Lifting']",Hot Work,Permit Not Issued
RPT-00085,2025-12-05,Lakwa Gas Plant,Near-Miss,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a near-miss occurred at Lakwa Gas Plant because no lifting plan / unqualified rigger used.",1,1,0.824,Hot Work,"['Hot Work', 'Safe Mechanical Lifting']",Hot Work,Permit Not Issued
RPT-00086,2025-02-24,Digboi Refinery,UA,excavation near buried pipeline,"Observation (UA) at Digboi Refinery - excavation near buried pipeline in progress, however supervision inadequate for high-risk task, increasing risk of being struck by moving/falling/suspended object.",0,0,0.104,Line of Fire,['Line of Fire'],Excavation,Inadequate Supervision
RPT-00087,2025-09-25,Kumchai Compressor Station,Near-Miss,routine equipment inspection round,"Observation (Near-Miss) at Kumchai Compressor Station - routine equipment inspection round in progress, however toolbox talk / risk assessment not conducted, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.087,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Risk Assessment Skipped
RPT-00088,2025-10-31,Barekuri Well Pad,Near-Miss,vehicle movement in loading bay,"Observation (Near-Miss) at Barekuri Well Pad - vehicle movement in loading bay in progress, however equipment inspection overdue / defective tool used, increasing risk of vehicle collision.",0,0,0.144,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00089,2025-08-26,Kumchai Compressor Station,UA,manual lifting with mobile crane,"Observation (UA) at Kumchai Compressor Station - manual lifting with mobile crane in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of dropped load / crane failure.",1,1,0.801,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Working at Height']",Mechanical Lifting,PPE Non-Compliance
RPT-00090,2025-04-04,Lakwa Gas Plant,UA,routine equipment inspection round,"Observation (UA) at Lakwa Gas Plant - routine equipment inspection round in progress, however communication breakdown between crew and control room, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.081,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Communication Failure
